cartridge,bullet_diameter,bullet_type,bullet_weight,powder_type,burn_rate_index,charge_weight,velocity_fps,barrel_length,twist_rate,coal,compressed_load
223_rem,0.2245,hpfb,36.0000,vihtavuori_n130,84,24.1000,3786,25.000,12.0000,2.1810,yes
223_rem,0.2245,hpfb,36.0000,vihtavuori_n133,89,25.9000,3842,25.000,12.0000,2.1810,yes
223_rem,0.2245,hpfb,36.0000,vihtavuori_n135,102,26.2000,3717,25.000,12.0000,2.1810,yes
223_rem,0.2245,hpfb,36.0000,vihtavuori_n140,112,27.0000,3514,25.000,12.0000,2.1810,yes
223_rem,0.2245,hpfb,36.0000,vihtavuori_n540,117,27.8000,3576,25.000,12.0000,2.1810,yes
223_rem,0.2245,varmint_grenade,50.0000,vihtavuori_n135,102,24.5000,3297,25.000,12.0000,2.2010,yes
223_rem,0.2245,varmint_grenade,50.0000,vihtavuori_n140,112,26.9000,3317,25.000,12.0000,2.2010,yes
223_rem,0.2245,varmint_grenade,50.0000,vihtavuori_n540,117,26.2000,3278,25.000,12.0000,2.2010,yes
223_rem,0.2245,mpg_fb,55.0000,vihtavuori_n130,84,21.6000,3068,25.000,12.0000,2.1650,yes
223_rem,0.2245,mpg_fb,55.0000,vihtavuori_n135,102,21.9000,3048,25.000,12.0000,2.1650,yes
223_rem,0.2245,mpg_fb,55.0000,vihtavuori_n140,112,25.5000,3035,25.000,12.0000,2.1650,yes
223_rem,0.2245,mpg_fb,55.0000,vihtavuori_n540,117,27.8000,3196,25.000,12.0000,2.1650,yes
223_rem,0.2245,ttsx_bt,55.0000,vihtavuori_n135,102,25.0000,3228,25.000,12.0000,2.2050,yes
223_rem,0.2245,ttsx_bt,55.0000,vihtavuori_n140,112,27.0000,3169,25.000,12.0000,2.2050,yes
223_rem,0.2245,ttsx_bt,55.0000,vihtavuori_n540,117,27.8000,3232,25.000,12.0000,2.2050,yes
223_rem,0.2245,ttsx_bt,62.0000,vihtavuori_n530,100,23.3000,3035,25.000,12.0000,2.2440,yes
223_rem,0.2245,ttsx_bt,62.0000,vihtavuori_n135,102,23.3000,3022,25.000,12.0000,2.2440,yes
223_rem,0.2245,ttsx_bt,62.0000,vihtavuori_n140,112,26.2000,2976,25.000,12.0000,2.2440,yes
223_rem,0.2245,ttsx_bt,62.0000,vihtavuori_n540,117,26.9000,3146,25.000,12.0000,2.2440,yes
223_rem,0.2245,lrx_bt,77.0000,vihtavuori_n140,112,24.7000,2674,25.000,12.0000,2.2600,yes
223_rem,0.2245,lrx_bt,77.0000,vihtavuori_n540,117,24.8000,2776,25.000,12.0000,2.2600,yes
223_rem,0.2245,bt_match,85.0000,vihtavuori_n140,112,23.6000,2641,25.000,12.0000,2.2280,yes
223_rem,0.2245,bt_match,85.0000,vihtavuori_n150,124,23.8000,2648,25.000,12.0000,2.2280,yes
223_rem,0.2245,otm_tactical,77.0000,vihtavuori_n140,112,25.0000,2815,25.000,12.0000,2.2600,yes
223_rem,0.2245,otm_tactical,77.0000,vihtavuori_n540,117,24.8000,2841,25.000,12.0000,2.2600,yes
223_rem,0.2245,otm_tactical,77.0000,vihtavuori_n150,124,25.2000,2812,25.000,12.0000,2.2600,yes
223_rem,0.2245,otm_tactical,77.0000,vihtavuori_n550,129,27.0000,2881,25.000,12.0000,2.2600,yes
223_rem,0.2245,fullbore_target,80.5000,vihtavuori_n140,112,24.4000,2753,25.000,12.0000,2.2440,yes
223_rem,0.2245,fullbore_target,80.5000,vihtavuori_n550,129,26.9000,2799,25.000,12.0000,2.2440,yes
223_rem,0.2245,long_range_hybrid_target,85.5000,vihtavuori_n150,124,24.7000,2700,25.000,12.0000,2.3230,yes
223_rem,0.2245,spitzer_bt_fmj,55.0000,vihtavuori_n133,89,25.5000,3314,25.000,12.0000,2.2440,yes
223_rem,0.2245,spitzer_bt_fmj,55.0000,vihtavuori_n135,102,25.9000,3271,25.000,12.0000,2.2440,yes
223_rem,0.2245,spitzer_bt_fmj,62.0000,vihtavuori_n133,89,23.3000,3058,25.000,12.0000,2.2440,yes
223_rem,0.2245,spitzer_bt_fmj,62.0000,vihtavuori_n135,102,24.2000,3091,25.000,12.0000,2.2440,yes
223_rem,0.2245,spitzer_bt_fmj,62.0000,vihtavuori_n140,112,26.2000,3031,25.000,12.0000,2.2440,yes
223_rem,0.2245,spitzer_bt_fmj,62.0000,vihtavuori_n540,117,27.3000,3173,25.000,12.0000,2.2440,yes
223_rem,0.2245,mth,65.0000,vihtavuori_n135,102,21.3000,2805,25.000,12.0000,2.2520,yes
223_rem,0.2245,mth,65.0000,vihtavuori_n140,112,24.4000,2897,25.000,12.0000,2.2520,yes
223_rem,0.2245,mth,65.0000,vihtavuori_n540,117,24.7000,2956,25.000,12.0000,2.2520,yes
223_rem,0.2245,ntx,35.0000,vihtavuori_n130,84,25.9000,3911,25.000,12.0000,2.2050,yes
223_rem,0.2245,ntx,35.0000,vihtavuori_n133,89,25.9000,3809,25.000,12.0000,2.2050,yes
223_rem,0.2245,ntx,35.0000,vihtavuori_n135,102,26.2000,3727,25.000,12.0000,2.2050,yes
223_rem,0.2245,ecx,50.0000,vihtavuori_n135,102,24.2000,3294,25.000,12.0000,2.2050,yes
223_rem,0.2245,ecx,50.0000,vihtavuori_n140,112,26.9000,3317,25.000,12.0000,2.2050,yes
223_rem,0.2245,ecx,50.0000,vihtavuori_n540,117,26.7000,3327,25.000,12.0000,2.2050,yes
223_rem,0.2245,hp,60.0000,vihtavuori_n140,112,26.8000,3166,25.000,12.0000,2.2440,yes
223_rem,0.2245,eld_vt,62.0000,vihtavuori_n130,84,23.0000,3061,25.000,12.0000,2.2600,yes
223_rem,0.2245,eld_vt,62.0000,vihtavuori_n133,89,24.1000,3094,25.000,12.0000,2.2600,yes
223_rem,0.2245,eld_vt,62.0000,vihtavuori_n135,102,25.9000,3169,25.000,12.0000,2.2600,yes
223_rem,0.2245,eld_vt,62.0000,vihtavuori_n140,112,27.0000,3110,25.000,12.0000,2.2600,yes
223_rem,0.2245,eld_vt,62.0000,vihtavuori_n540,117,27.6000,3199,25.000,12.0000,2.2600,yes
223_rem,0.2245,eld_match,75.0000,vihtavuori_n140,112,26.2000,2917,25.000,12.0000,2.2600,yes
223_rem,0.2245,eld_match,75.0000,vihtavuori_n540,117,25.8000,2956,25.000,12.0000,2.2600,yes
223_rem,0.2245,eld_match,88.0000,vihtavuori_n140,112,23.5000,2631,25.000,12.0000,2.3230,yes
223_rem,0.2245,eld_match,88.0000,vihtavuori_n150,124,23.1000,2539,25.000,12.0000,2.3230,yes
223_rem,0.2245,target_line,53.0000,vihtavuori_n130,84,23.8000,3323,25.000,12.0000,2.2200,yes
223_rem,0.2245,target_line,53.0000,vihtavuori_n133,89,25.2000,3386,25.000,12.0000,2.2200,yes
223_rem,0.2245,target_line,53.0000,vihtavuori_n135,102,26.2000,3327,25.000,12.0000,2.2200,yes
223_rem,0.2245,hpce,51.0000,vihtavuori_n135,102,25.9000,3392,25.000,12.0000,2.2440,yes
223_rem,0.2245,fmj,55.0000,vihtavuori_n135,102,25.9000,3278,25.000,12.0000,2.2440,yes
223_rem,0.2245,fmj,55.0000,vihtavuori_n140,112,27.3000,3294,25.000,12.0000,2.2440,yes
223_rem,0.2245,fmjbt_s569,55.0000,vihtavuori_n135,102,25.5000,3291,25.000,12.0000,2.2440,yes
223_rem,0.2245,fmjbt_s569,55.0000,vihtavuori_n140,112,26.7000,3241,25.000,12.0000,2.2440,yes
223_rem,0.2245,fmjbt_s569,55.0000,vihtavuori_n540,117,27.3000,3310,25.000,12.0000,2.2440,yes
223_rem,0.2245,soft_point,55.0000,vihtavuori_n135,102,25.3000,3294,25.000,12.0000,2.2240,yes
223_rem,0.2245,soft_point,55.0000,vihtavuori_n140,112,26.9000,3327,25.000,12.0000,2.2240,yes
223_rem,0.2245,controlled_chaos,55.0000,vihtavuori_n135,102,23.8000,3179,25.000,12.0000,2.2600,yes
223_rem,0.2245,controlled_chaos,55.0000,vihtavuori_n140,112,26.5000,3192,25.000,12.0000,2.2600,yes
223_rem,0.2245,controlled_chaos,55.0000,vihtavuori_n540,117,26.4000,3219,25.000,12.0000,2.2600,yes
223_rem,0.2245,tactic,52.0000,vihtavuori_n133,89,24.4000,3383,25.000,12.0000,2.1930,yes
223_rem,0.2245,tactic,52.0000,vihtavuori_n135,102,25.5000,3386,25.000,12.0000,2.1930,yes
223_rem,0.2245,btlf,40.0000,vihtavuori_n130,84,25.2000,3711,25.000,12.0000,2.2600,yes
223_rem,0.2245,btlf,40.0000,vihtavuori_n133,89,25.9000,3724,25.000,12.0000,2.2600,yes
223_rem,0.2245,btlf,40.0000,vihtavuori_n135,102,25.9000,3612,25.000,12.0000,2.2600,yes
223_rem,0.2245,btlf,40.0000,vihtavuori_n140,112,26.9000,3360,25.000,12.0000,2.2600,yes
223_rem,0.2245,hpbt_custom_comp,52.0000,vihtavuori_n133,89,24.7000,3323,25.000,12.0000,2.2600,yes
223_rem,0.2245,hpbt_custom_comp,52.0000,vihtavuori_n135,102,26.1000,3383,25.000,12.0000,2.2600,yes
223_rem,0.2245,hpbt_custom_comp,52.0000,vihtavuori_n140,112,27.0000,3205,25.000,12.0000,2.2600,yes
223_rem,0.2245,hpbt_custom_comp,52.0000,vihtavuori_n540,117,28.2000,3415,25.000,12.0000,2.2600,yes
223_rem,0.2245,fb_varmageddon,53.0000,vihtavuori_n133,89,24.8000,3320,25.000,12.0000,2.2600,yes
223_rem,0.2245,fb_varmageddon,53.0000,vihtavuori_n135,102,25.9000,3340,25.000,12.0000,2.2600,yes
223_rem,0.2245,fb_varmageddon,53.0000,vihtavuori_n140,112,27.0000,3166,25.000,12.0000,2.2600,yes
223_rem,0.2245,fb_varmageddon,53.0000,vihtavuori_n540,117,27.9000,3389,25.000,12.0000,2.2600,yes
223_rem,0.2245,ballistic_tip_varmint,55.0000,vihtavuori_n135,102,25.9000,3264,25.000,12.0000,2.2600,yes
223_rem,0.2245,ballistic_tip_varmint,55.0000,vihtavuori_n140,112,27.0000,3130,25.000,12.0000,2.2600,yes
223_rem,0.2245,ballistic_tip_varmint,55.0000,vihtavuori_n540,117,27.9000,3333,25.000,12.0000,2.2600,yes
223_rem,0.2245,fb_varmageddon,55.0000,vihtavuori_n133,89,24.7000,3255,25.000,12.0000,2.2600,yes
223_rem,0.2245,fb_varmageddon,55.0000,vihtavuori_n135,102,25.9000,3281,25.000,12.0000,2.2600,yes
223_rem,0.2245,fb_varmageddon,55.0000,vihtavuori_n140,112,27.0000,3159,25.000,12.0000,2.2600,yes
223_rem,0.2245,fb_varmageddon,55.0000,vihtavuori_n540,117,27.8000,3317,25.000,12.0000,2.2600,yes
223_rem,0.2245,ballistic_tip_varmint,60.0000,vihtavuori_n133,89,23.5000,3068,25.000,12.0000,2.2600,yes
223_rem,0.2245,ballistic_tip_varmint,60.0000,vihtavuori_n135,102,24.5000,3107,25.000,12.0000,2.2600,yes
223_rem,0.2245,ballistic_tip_varmint,60.0000,vihtavuori_n140,112,27.0000,3104,25.000,12.0000,2.2600,yes
223_rem,0.2245,ballistic_tip_varmint,60.0000,vihtavuori_n540,117,26.9000,3189,25.000,12.0000,2.2600,yes
223_rem,0.2245,fbhp_varmageddon,62.0000,vihtavuori_n135,102,24.2000,3028,25.000,12.0000,2.1970,yes
223_rem,0.2245,fbhp_varmageddon,62.0000,vihtavuori_n140,112,26.4000,3091,25.000,12.0000,2.1970,yes
223_rem,0.2245,fbhp_varmageddon,62.0000,vihtavuori_n540,117,26.4000,3120,25.000,12.0000,2.1970,yes
223_rem,0.2245,rdf,70.0000,vihtavuori_n140,112,26.1000,3005,25.000,12.0000,2.2600,yes
223_rem,0.2245,custom_competition,77.0000,vihtavuori_n140,112,25.0000,2828,25.000,12.0000,2.2600,yes
223_rem,0.2245,custom_competition,77.0000,vihtavuori_n150,124,25.6000,2838,25.000,12.0000,2.2600,yes
223_rem,0.2245,custom_competition,77.0000,vihtavuori_n550,129,27.0000,2884,25.000,12.0000,2.2600,yes
223_rem,0.2245,blade_648g,55.0000,vihtavuori_n130,84,23.8000,3176,25.000,12.0000,2.2480,yes
223_rem,0.2245,blade_648g,55.0000,vihtavuori_n133,89,24.7000,3209,25.000,12.0000,2.2480,yes
223_rem,0.2245,blade_648g,55.0000,vihtavuori_n135,102,25.9000,3241,25.000,12.0000,2.2480,yes
223_rem,0.2245,blade_648g,55.0000,vihtavuori_n140,112,26.9000,3077,25.000,12.0000,2.2480,yes
223_rem,0.2245,blitzking,50.0000,vihtavuori_n140,112,27.0000,3333,25.000,12.0000,2.2600,yes
223_rem,0.2245,spitzer,50.0000,vihtavuori_n135,102,25.9000,3379,25.000,12.0000,2.2480,yes
223_rem,0.2245,spitzer,50.0000,vihtavuori_n140,112,27.0000,3264,25.000,12.0000,2.2480,yes
223_rem,0.2245,spitzer,50.0000,vihtavuori_n540,117,28.5000,3442,25.000,12.0000,2.2480,yes
223_rem,0.2245,hpbt,52.0000,vihtavuori_n135,102,25.6000,3409,25.000,12.0000,2.2440,yes
223_rem,0.2245,varminter_hp,60.0000,vihtavuori_n135,102,24.5000,3133,25.000,12.0000,2.2360,yes
223_rem,0.2245,varminter_hp,60.0000,vihtavuori_n140,112,26.9000,3176,25.000,12.0000,2.2360,yes
223_rem,0.2245,varminter_hp,60.0000,vihtavuori_n540,117,27.2000,3196,25.000,12.0000,2.2360,yes
223_rem,0.2245,spire_point,40.0000,vihtavuori_n133,89,25.9000,3625,25.000,12.0000,2.0750,yes
223_rem,0.2245,spitzer,45.0000,vihtavuori_n133,89,25.9000,3579,25.000,12.0000,2.1260,yes
223_rem,0.2245,spitzer,45.0000,vihtavuori_n135,102,25.9000,3392,25.000,12.0000,2.1260,yes
223_rem,0.2245,tnt_hp,50.0000,vihtavuori_n133,89,25.9000,3533,25.000,12.0000,2.2440,yes
223_rem,0.2245,tnt_hp,50.0000,vihtavuori_n135,102,25.9000,3340,25.000,12.0000,2.2440,yes
223_rem,0.2245,fmjbt,62.0000,vihtavuori_n140,112,26.2000,3094,25.000,12.0000,2.2600,yes
223_rem,0.2245,hpfb,36.0000,vihtavuori_n130,84,21.1000,3402,25.000,12.0000,2.1810,no
223_rem,0.2245,hpfb,36.0000,vihtavuori_n133,89,22.8000,3481,25.000,12.0000,2.1810,no
223_rem,0.2245,hpfb,36.0000,vihtavuori_n135,102,24.7000,3514,25.000,12.0000,2.1810,no
223_rem,0.2245,hpfb,36.0000,vihtavuori_n140,112,26.2000,3425,25.000,12.0000,2.1810,no
223_rem,0.2245,hpfb,36.0000,vihtavuori_n540,117,25.8000,3301,25.000,12.0000,2.1810,no
223_rem,0.2245,varmint_grenade,50.0000,vihtavuori_n130,84,19.1000,2877,25.000,12.0000,2.2010,no
223_rem,0.2245,varmint_grenade,50.0000,vihtavuori_n133,89,20.8000,2959,25.000,12.0000,2.2010,no
223_rem,0.2245,varmint_grenade,50.0000,vihtavuori_n135,102,21.9000,2976,25.000,12.0000,2.2010,no
223_rem,0.2245,varmint_grenade,50.0000,vihtavuori_n140,112,23.5000,2963,25.000,12.0000,2.2010,no
223_rem,0.2245,varmint_grenade,50.0000,vihtavuori_n540,117,23.6000,2920,25.000,12.0000,2.2010,no
223_rem,0.2245,mpg_fb,55.0000,vihtavuori_n130,84,19.3000,2785,25.000,12.0000,2.1650,no
223_rem,0.2245,mpg_fb,55.0000,vihtavuori_n133,89,18.5000,2726,25.000,12.0000,2.1650,no
223_rem,0.2245,mpg_fb,55.0000,vihtavuori_n135,102,19.3000,2746,25.000,12.0000,2.1650,no
223_rem,0.2245,mpg_fb,55.0000,vihtavuori_n140,112,24.2000,2910,25.000,12.0000,2.1650,no
223_rem,0.2245,mpg_fb,55.0000,vihtavuori_n540,117,25.2000,2920,25.000,12.0000,2.1650,no
223_rem,0.2245,ttsx_bt,55.0000,vihtavuori_n130,84,20.7000,2881,25.000,12.0000,2.2050,no
223_rem,0.2245,ttsx_bt,55.0000,vihtavuori_n133,89,19.3000,2818,25.000,12.0000,2.2050,no
223_rem,0.2245,ttsx_bt,55.0000,vihtavuori_n135,102,21.3000,2877,25.000,12.0000,2.2050,no
223_rem,0.2245,ttsx_bt,55.0000,vihtavuori_n140,112,25.0000,2966,25.000,12.0000,2.2050,no
223_rem,0.2245,ttsx_bt,55.0000,vihtavuori_n540,117,25.2000,2963,25.000,12.0000,2.2050,no
223_rem,0.2245,tac_x_bt,62.0000,vihtavuori_n133,89,20.7000,2730,25.000,12.0000,2.2600,no
223_rem,0.2245,tac_x_bt,62.0000,vihtavuori_n530,100,21.6000,2694,25.000,12.0000,2.2600,no
223_rem,0.2245,tac_x_bt,62.0000,vihtavuori_n135,102,21.0000,2618,25.000,12.0000,2.2600,no
223_rem,0.2245,tac_x_bt,62.0000,vihtavuori_n140,112,23.5000,2694,25.000,12.0000,2.2600,no
223_rem,0.2245,tac_x_bt,62.0000,vihtavuori_n540,117,23.9000,2756,25.000,12.0000,2.2600,no
223_rem,0.2245,ttsx_bt,62.0000,vihtavuori_n133,89,19.9000,2694,25.000,12.0000,2.2440,no
223_rem,0.2245,ttsx_bt,62.0000,vihtavuori_n530,100,21.5000,2746,25.000,12.0000,2.2440,no
223_rem,0.2245,ttsx_bt,62.0000,vihtavuori_n135,102,21.1000,2736,25.000,12.0000,2.2440,no
223_rem,0.2245,ttsx_bt,62.0000,vihtavuori_n140,112,24.2000,2779,25.000,12.0000,2.2440,no
